,ship-city,ship-state,ship-postal-code
36028,BHOPAL,Madhya Pradesh,462043.0
36029,BENGALURU,Karnataka,560036.0
36030,PUNE,Maharashtra,412207.0
36031,BENGALURU,Karnataka,560035.0
36032,BENGALURU,Karnataka,560035.0
36033,VASAI VIRAR,Maharashtra,401203.0
36034,VASAI VIRAR,Maharashtra,401203.0
36035,PIMPRI CHINCHWAD,Maharashtra,411033.0
36036,KOKRAJHAR,Assam,783346.0
36037,SULTANPUR,Uttar Pradesh,227801.0
36038,KASARAGOD,Kerala,671121.0
36039,Pune,Maharashtra,411021.0
36040,MUMBAI,Maharashtra,400053.0
36041,MUMBAI,Maharashtra,400093.0
36042,MUMBAI,Maharashtra,400093.0
36043,NEW DELHIi,Delhi,110025.0
36044,INDAPUR,Maharashtra,413106.0
36045,AHERI,Maharashtra,442705.0
36046,KHURJA,Uttar Pradesh,203131.0
36047,Pune,Maharashtra,411045.0
36048,Humnabad,Karnataka,585330.0
36049,VADODARA,Gujarat,390025.0
36050,THANE,Maharashtra,400607.0
36051,Belghoria,West Bengal,700056.0
36052,SECUNDERABAD,Telangana,500017.0
36053,SECUNDERABAD,Telangana,500017.0
36054,NAGPUR,Maharashtra,440010.0
36055,GONDIYA,Maharashtra,441601.0
36056,BHATGAON,Chhattisgarh,493222.0
36057,Portblair,Andaman & Nicobar Islands,744103.0
36058,BENGALURU,Karnataka,560017.0
36059,SHILLONG,Meghalaya,793001.0
36060,RANCHI,Jharkhand,834001.0
36061,GORAKHPUR,Uttar Pradesh,273001.0
36062,MANDSAURmandsour,Madhya Pradesh,458001.0
36063,VIJAPURA,Karnataka,586101.0
36064,BHALWAL,Jammu & Kashmir,181122.0
36065,PUNE,Maharashtra,411060.0
36066,PUNE,Maharashtra,411060.0
36067,HYDERABAD,Telangana,500082.0
36068,BENGALURU,Karnataka,560066.0
36069,GUNTUR,Andhra Pradesh,522004.0
36070,CHENNAI,Tamil Nadu,600045.0
36071,"Amethi,sultanpur",Uttar Pradesh,228159.0
36072,VARKALA,Kerala,695311.0
36073,JHARSUGUDA,Odisha,768027.0
36074,KANPUR,Uttar Pradesh,208014.0
36075,VARKALA,Kerala,695311.0
36076,HYDERABAD,Telangana,500062.0
36077,JHANSI,Uttar Pradesh,284003.0
36078,pune,Maharashtra,411037.0
36079,pune,Maharashtra,411037.0
36080,pune,Maharashtra,411037.0
36081,Pathankot,Punjab,145001.0
36082,RAIPUR,Chhattisgarh,492006.0
36083,BENGALURU,Karnataka,560097.0
36084,Guntur,Andhra Pradesh,522007.0
36085,INDORE,Madhya Pradesh,452001.0
36086,VISNAGAR,Gujarat,384315.0
36087,THIRUVANANTHAPURAM,Kerala,695025.0
36088,THIRUVANANTHAPURAM,Kerala,695025.0
36089,THIRUVANANTHAPURAM,Kerala,695025.0
36090,BENGALURU,Karnataka,560058.0
36091,BENGALURU,Karnataka,560058.0
36092,BADLAPUR,Maharashtra,421503.0
36093,VISAKHAPATNAM,Andhra Pradesh,530017.0
36094,CHENNAI,Tamil Nadu,600112.0
36095,GUWAHATI,Assam,781022.0
36096,KHAMMAM,Telangana,507002.0
36097,KHAMMAM,Telangana,507002.0
36098,RAMAGUNDAM,Telangana,505209.0
36099,KULLU,Himachal Pradesh,175101.0
36100,BALESHWAR,Odisha,756051.0
36101,Surat,Gujarat,394210.0
36102,Surat,Gujarat,394210.0
36103,BOOTHAPANDI,Tamil Nadu,629852.0
36104,BOOTHAPANDI,Tamil Nadu,629852.0
36105,Surat,Gujarat,394210.0
36106,Surat,Gujarat,394210.0
36107,THIRUVANANTHAPURAM,Kerala,695011.0
36108,Surat,Gujarat,394210.0
36109,Surat,Gujarat,394210.0
36110,Surat,Gujarat,394210.0
36111,Surat,Gujarat,394210.0
36112,Surat,Gujarat,394210.0
36113,FARIDABAD,Haryana,121009.0
36114,BENGALURU,Karnataka,560066.0
36115,BANGALORE,Karnataka,560037.0
36116,GURUGRAM,Haryana,122003.0
36117,THIKKANAMCODE,Tamil Nadu,629804.0
36118,KANCHIPURAM,Tamil Nadu,600056.0
36119,Jammu,Jammu & Kashmir,180006.0
36120,GHAZIABAD,Uttar Pradesh,201010.0
36121,AHMEDABAD,Gujarat,380008.0
36122,VASAI (E),Maharashtra,401208.0
36123,BENGALURU,Karnataka,560086.0
36124,BENGALURU,Karnataka,560045.0
36125,HYDERABAD,Telangana,500078.0
36126,WARANGAL,Telangana,506002.0
36127,CHENNAI,Tamil Nadu,600002.0
36128,BALLIA,Uttar Pradesh,277001.0
36129,BENGALURU,Karnataka,560100.0
36130,FARRUKHABAD,Uttar Pradesh,209625.0
36131,PATNA,Bihar,800010.0
36132,BARRACKPORE,West Bengal,700122.0
36133,MUMBAI,Maharashtra,400079.0
36134,MUMBAI,Maharashtra,400079.0
36135,KURSEONG,West Bengal,734203.0
36136,HYDERABAD,Telangana,500080.0
36137,HYDERABAD,Telangana,500080.0
36138,MUMBAI,Maharashtra,400055.0
36139,MUMBAI,Maharashtra,400019.0
36140,SURAT,Gujarat,395002.0
36141,Madurai,Tamil Nadu,625006.0
36142,Mumbai,Maharashtra,400101.0
36143,JAMSHEDPUR,Jharkhand,831001.0
